level,pcode,name,center_lat,center_lon
adm4,MMR001008008,Man Ywet,25.3042922,96.81408409
adm4,MMR001008009,Nyaung Kone,25.40331752,96.86431872
adm4,MMR001008010,Saung Hkar,25.36489115,96.78479928
adm4,MMR001008011,Nam Hai,25.46090144,96.8016787
adm4,MMR001008012,Lwe Law,25.22753041,96.89497225
adm4,MMR001008014,Aung Thar,25.28917927,96.8491749
adm4,MMR001008015,Shwe Inn,25.26934491,96.8687567
adm4,MMR001008016,Hto Pu,25.16855442,96.85758639
adm4,MMR001008017,Inn Baung,25.28460395,96.72381939
adm4,MMR001008018,Sar Hmaw,25.22280487,96.79143248
adm4,MMR001008019,Ka War Yang,25.2779715,96.79942472
adm4,MMR001008020,Taung Ni,25.21430236,96.72669447
adm4,MMR001008021,Nam Ma Na,25.20141606,96.67261529
adm4,MMR001008022,Pint Thar,25.21972213,96.62833708
adm4,MMR001008023,Ohn Baung,25.14964232,96.6858975
adm4,MMR001008024,Thaik War Kone,25.17002503,96.62433339
adm4,MMR001008025,In Gyin Kone,25.13627902,96.60211672
adm4,MMR001008026,Pin Baw,25.11552002,96.58608003
adm4,MMR001008027,Kone Tan Gyi,25.07763727,96.85581885
adm4,MMR001008028,Htone Yae Pauk,25.03406525,96.64131865
adm4,MMR001008029,Nam Hkwin,25.07200241,96.59387333
adm4,MMR001008031,Thu Htay Kone,25.34610484,96.99109925
adm4,MMR001008032,Mya Daung,25.36220346,96.95753667
adm4,MMR001008033,Kan Hla,25.37304216,96.98503628
adm4,MMR001008034,Hsee Din Yang,25.4480661,96.94386167
adm4,MMR001008035,Myo Thit Gyi,25.40036074,97.02999068
adm4,MMR001008036,Lan Gwa,25.4633232,96.99106518
adm4,MMR001008037,Nyaung Taw,25.49677721,97.05848098
adm4,MMR001008039,Ma Ram,25.23309112,97.08428791
adm4,MMR001008040,Oke Kyin,25.30350189,96.88578214
adm4,MMR001008041,Ka Nyin Myine,25.25068981,96.74021608
adm4,MMR001008701,Urban,25.30175176,96.92975192
adm4,MMR001008702,Urban,25.36024945,97.01705651
adm4,MMR001008901,,25.53087568,96.94559199
adm4,MMR001008902,,25.19673351,97.09318174
adm4,MMR001009001,Long Hkin,25.86204033,96.28808702
adm4,MMR001009002,Nam Ma Hpyit,25.57392992,96.38319364
adm4,MMR001009003,Seik Mu,25.49235195,96.33925202
adm4,MMR001009004,Hawng Par,25.45578542,96.11639499
adm4,MMR001009005,Dun Bone Hka,25.55895694,96.88116429
adm4,MMR001009006,La War,25.58843869,96.827384
adm4,MMR001009007,Dun Bang,25.76879521,96.86647066
adm4,MMR001009008,Nawng Myi,25.72766642,96.71573103
adm4,MMR001009009,Wa Ra Zut,25.93848051,96.65896731
adm4,MMR001009010,Gaw Ri,25.45132966,96.72025251
adm4,MMR001009012,Nam Si In,25.42472849,96.64168234
adm4,MMR001009013,Ka Htan Yang,25.50607862,96.56869953
adm4,MMR001009014,Nam Ya,25.58386313,96.56904616
adm4,MMR001009015,Kat Hmaw Sut,25.66034034,96.53581841
adm4,MMR001009701,Urban,25.62355733,96.30065908
adm4,MMR001009702,Urban,25.52028371,96.71165062
