SR_Pcode,SR_Name_Eng,District/SAZ_Pcode,District/SAZ_Name_Eng,Tsp_Pcode,Township_Name_Eng,VT_Pcode,Village_Tract_Name_Eng,Village_Pcode,Village_Name_Eng,Village_Name_MMR,Commonly_Used_Local_Vlg_Name_Eng,Commonly_Used_Local_Vlg_Name_Mya,Longitude,Latitude,Source,Start_Date,Modified_End_Date,Notification,Notification_modified,GAD_Village_Status,Field_Village_Status,MIMU_Village_Mapping_Status,Change_Type,Previous_Village_Name_Eng,Remark
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024034,Chaung Hpyar (Nyi Naung),151141,Kan Su,ကံစု,,,95.36782074,16.28030968,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024034,Chaung Hpyar (Nyi Naung),151142,Kyar,ကြား,,,95.37180328,16.2808094,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024064,Daunt Gyi,151428,Aing Tar,အိုင်တာ,,,,,GAD,,28-Jan-11,,200/23-309/U-1,Inactive,N/A,Inactive,Delete,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024064,Daunt Gyi,151429,Da Na Thu Kha,ဓနသုခ,,,,,GAD,,28-Jan-11,,200/23-309/U-1,Inactive,N/A,Inactive,Delete,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024064,Daunt Gyi,151420,Daunt Gyi,ဒေါင့်ကြီး,,,95.4562912,16.04413986,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024064,Daunt Gyi,151424,Ka Tha Baung,ကသဘောင်း,,,95.4319504,16.0460978,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024064,Daunt Gyi,218746,Ka Tha Paung Ywar Thit,ကသပေါင်းရွာသစ်,,,95.4407627,16.0376654,GAD,28-Jan-11,,200/23-309/U-1,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024064,Daunt Gyi,151422,Kan Su,ကံစု,,,,,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024064,Daunt Gyi,164104,Kant Kaw Nyunt,ကံကော်ညွှန့်,,,,,GAD,28-Jan-11,,200/23-309/U-1,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024064,Daunt Gyi,151421,Kat Tha Hmyin Sar Hpyu Su,ကဿမျှင်စာြဖူစု,,,95.46398163,16.06126022,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024064,Daunt Gyi,218754,Kwin Bone,ကွင်းဘုန်း,,,,,GAD,28-Jan-11,,200/23-309/U-1,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024064,Daunt Gyi,151438,Kwin Pon,ကွင်းပုံ,,,95.40281677,16.05489922,Field Sources,01-Jan-15,,,,N/A,Active,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024064,Daunt Gyi,151426,Ngwe Nyi Naung,ငွေညီနောင်,,,95.39292,16.03525,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024064,Daunt Gyi,164100,Sa Kar Lun,စကားလွန်း,,,,,GAD,28-Jan-11,,200/23-309/U-1,,Active,N/A,Active,,,
